zip_code,cases,cases_norm
97002,46,818.1
97003,206,795.9
97004,20,455.8
97005,269,1080.1
97006,304,482.3
97007,255,380.9
97008,168,579.9
97009,55,708.6
97013,229,1009.3
97014,1-9,n/a
97015,140,717.2
97016,20,328.8
97017,1-9,n/a
97018,1-9,n/a
97019,34,1075.6
97021,1-9,n/a
97022,16,429.9
97023,37,376.3
97024,198,1933.2
97026,104,2726.1
97027,48,395.7
97030,427,1163.7
97031,185,1006.8
97032,99,1963.1
97034,58,306.8
97035,77,322.0
97038,89,588.9
97040,1-9,n/a
97041,32,1136.0
97042,16,547.4
97045,265,516.0
97048,26,388.6
97049,1-9,n/a
97051,39,244.4
97053,1-9,n/a
97054,0,0.0
97055,56,322.8
97056,26,226.1
97058,185,932.6
97060,214,1008.2
97062,248,904.0
97063,1-9,n/a
97064,1-9,n/a
97067,13,608.0
97068,77,272.0
97070,138,658.5
97071,878,3048.3
97078,229,1068.5
97080,456,1115.2
97086,175,672.8
97089,75,625.7
97101,18,474.4
97103,44,261.0
97106,16,351.6
97107,0,0.0
97110,1-9,n/a
97111,14,443.6
97112,0,0.0
97113,242,1709.6
97114,44,924.0
97115,22,531.5
97116,254,1053.8
97119,11,248.9
97121,1-9,n/a
97123,504,1131.6
97124,303,626.7
97127,21,561.5
97128,329,910.3
97131,1-9,n/a
97132,142,502.2
97133,13,325.0
97136,1-9,n/a
97137,1-9,n/a
97138,17,169.6
97140,76,323.8
97141,24,182.6
97146,22,372.6
97148,14,411.0
97201,55,355.2
97202,144,371.5
97203,297,956.8
97204,1-9,n/a
97205,16,208.1
97206,263,552.6
97209,116,775.9
97210,38,349.0
97211,165,527.9
97212,73,302.6
97213,116,397.0
97214,135,566.9
97215,80,488.5
97216,137,878.5
97217,156,496.2
97218,158,1085.1
97219,142,366.8
97220,247,866.8
97221,36,309.5
97222,182,520.3
97223,235,503.2
97224,152,488.4
97225,112,463.3
97227,16,415.9
97229,193,331.5
97230,442,1111.9
97231,18,420.6
97232,34,296.4
97233,664,1686.7
97236,679,1842.5
97239,67,473.5
97266,318,955.0
97267,138,447.5
97301,619,1156.6
97302,192,517.1
97303,370,957.0
97304,247,868.1
97305,630,1568.1
97306,199,727.3
97317,231,948.5
97321,104,417.2
97322,141,414.2
97324,1-9,n/a
97325,37,559.4
97327,1-9,n/a
97330,116,279.7
97331,1-9,n/a
97333,42,196.5
97338,44,219.5
97341,1-9,n/a
97344,1-9,n/a
97347,1-9,n/a
97348,1-9,n/a
97351,75,727.7
97352,17,303.4
97355,89,311.0
97358,0,0.0
97360,1-9,n/a
97361,48,426.4
97362,43,991.2
97365,315,2931.9
97366,10,684.9
97367,83,881.5
97368,1-9,n/a
97370,27,326.4
97374,11,208.9
97375,12,958.5
97376,1-9,n/a
97378,24,270.2
97380,12,490.0
97381,101,686.6
97383,47,490.2
97385,21,644.8
97386,17,125.3
97389,1-9,n/a
97391,17,318.1
97392,27,520.1
97394,1-9,n/a
97396,1-9,n/a
97401,107,264.1
97402,113,224.5
97403,24,206.5
97404,50,155.0
97405,59,132.2
97408,34,290.3
97411,1-9,n/a
97415,15,106.8
97417,1-9,n/a
97419,1-9,n/a
97420,45,163.8
97423,13,190.9
97424,25,142.1
97426,14,144.1
97431,1-9,n/a
97435,1-9,n/a
97437,1-9,n/a
97438,1-9,n/a
97439,19,132.5
97442,0,0.0
97443,1-9,n/a
97444,1-9,n/a
97446,19,394.8
97448,12,98.0
97449,0,0.0
97452,1-9,n/a
97454,0,0.0
97455,1-9,n/a
97456,1-9,n/a
97457,1-9,n/a
97458,1-9,n/a
97459,46,326.3
97462,11,279.3
97463,1-9,n/a
97465,0,0.0
97467,1-9,n/a
97469,1-9,n/a
97470,34,170.1
97471,41,140.9
97477,75,203.4
97478,109,294.5
97479,41,431.4
97487,11,130.2
97488,1-9,n/a
97495,1-9,n/a
97496,10,131.0
97497,0,0.0
97498,1-9,n/a
97499,0,0.0
97501,293,695.7
97502,91,328.6
97503,110,1044.8
97504,144,324.0
97520,33,134.9
97523,10,159.6
97524,39,269.7
97525,16,347.8
97526,65,190.0
97527,59,175.0
97530,17,245.8
97532,1-9,n/a
97535,16,317.0
97537,11,159.0
97538,0,0.0
97539,1-9,n/a
97540,33,416.1
97541,1-9,n/a
97544,0,0.0
97601,92,409.6
97603,87,294.7
97623,1-9,n/a
97624,1-9,n/a
97630,27,529.8
97632,1-9,n/a
97633,13,955.2
97641,0,0.0
97701,212,359.4
97702,189,465.7
97703,87,262.2
97707,1-9,n/a
97708,1-9,n/a
97720,1-9,n/a
97734,19,682.0
97738,1-9,n/a
97739,17,154.3
97741,161,1351.6
97753,1-9,n/a
97754,52,280.0
97756,129,384.5
97759,25,397.2
97760,25,370.0
97761,263,6596.4
97801,518,2407.0
97813,1-9,n/a
97814,65,525.0
97818,302,7261.4
97820,0,0.0
97824,10,602.0
97826,20,1843.3
97827,13,494.7
97828,1-9,n/a
97836,11,554.7
97838,1449,5716.9
97844,118,3100.4
97845,1-9,n/a
97846,1-9,n/a
97850,367,2164.6
97862,133,1140.1
97865,1-9,n/a
97868,20,1004.5
97869,1-9,n/a
97875,121,4636.0
97882,386,4974.2
97883,1-9,n/a
97885,1-9,n/a
97886,12,1052.6
97913,180,3256.7
97914,894,4655.0
97918,76,1675.1
