zip_code,cases,cases_norm,week,cases_change,cases_norm_change
97002,46,818.1,2020-09-02,46,818.1
97003,206,795.9,2020-09-02,206,795.9
97004,20,455.8,2020-09-02,20,455.8
97005,269,1080.1,2020-09-02,269,1080.1
97006,304,482.3,2020-09-02,304,482.3
97007,255,380.9,2020-09-02,255,380.9
97008,168,579.9,2020-09-02,168,579.9
97009,55,708.6,2020-09-02,55,708.6
97013,229,1009.3,2020-09-02,229,1009.3
97014,5,n/a,2020-09-02,5,0
97015,140,717.2,2020-09-02,140,717.2
97016,20,328.8,2020-09-02,20,328.8
97017,5,n/a,2020-09-02,5,0
97018,5,n/a,2020-09-02,5,0
97019,34,1075.6,2020-09-02,34,1075.6
97021,5,n/a,2020-09-02,5,0
97022,16,429.9,2020-09-02,16,429.9
97023,37,376.3,2020-09-02,37,376.3
97024,198,1933.2,2020-09-02,198,1933.2
97026,104,2726.1,2020-09-02,104,2726.1
97027,48,395.7,2020-09-02,48,395.7
97030,427,1163.7,2020-09-02,427,1163.7
97031,185,1006.8,2020-09-02,185,1006.8
97032,99,1963.1,2020-09-02,99,1963.1
97034,58,306.8,2020-09-02,58,306.8
97035,77,322.0,2020-09-02,77,322
97038,89,588.9,2020-09-02,89,588.9
97040,5,n/a,2020-09-02,5,0
97041,32,1136.0,2020-09-02,32,1136
97042,16,547.4,2020-09-02,16,547.4
97045,265,516.0,2020-09-02,265,516
97048,26,388.6,2020-09-02,26,388.6
97049,5,n/a,2020-09-02,5,0
97051,39,244.4,2020-09-02,39,244.4
97053,5,n/a,2020-09-02,5,0
97054,0,0.0,2020-09-02,0,0
97055,56,322.8,2020-09-02,56,322.8
97056,26,226.1,2020-09-02,26,226.1
97058,185,932.6,2020-09-02,185,932.6
97060,214,1008.2,2020-09-02,214,1008.2
97062,248,904.0,2020-09-02,248,904
97063,5,n/a,2020-09-02,5,0
97064,5,n/a,2020-09-02,5,0
97067,13,608.0,2020-09-02,13,608
97068,77,272.0,2020-09-02,77,272
97070,138,658.5,2020-09-02,138,658.5
97071,878,3048.3,2020-09-02,878,3048.3
97078,229,1068.5,2020-09-02,229,1068.5
97080,456,1115.2,2020-09-02,456,1115.2
97086,175,672.8,2020-09-02,175,672.8
97089,75,625.7,2020-09-02,75,625.7
97101,18,474.4,2020-09-02,18,474.4
97103,44,261.0,2020-09-02,44,261
97106,16,351.6,2020-09-02,16,351.6
97107,0,0.0,2020-09-02,0,0
97110,5,n/a,2020-09-02,5,0
97111,14,443.6,2020-09-02,14,443.6
97112,0,0.0,2020-09-02,0,0
97113,242,1709.6,2020-09-02,242,1709.6
97114,44,924.0,2020-09-02,44,924
97115,22,531.5,2020-09-02,22,531.5
97116,254,1053.8,2020-09-02,254,1053.8
97119,11,248.9,2020-09-02,11,248.9
97121,5,n/a,2020-09-02,5,0
97123,504,1131.6,2020-09-02,504,1131.6
97124,303,626.7,2020-09-02,303,626.7
97127,21,561.5,2020-09-02,21,561.5
97128,329,910.3,2020-09-02,329,910.3
97131,5,n/a,2020-09-02,5,0
97132,142,502.2,2020-09-02,142,502.2
97133,13,325.0,2020-09-02,13,325
97136,5,n/a,2020-09-02,5,0
97137,5,n/a,2020-09-02,5,0
97138,17,169.6,2020-09-02,17,169.6
97140,76,323.8,2020-09-02,76,323.8
97141,24,182.6,2020-09-02,24,182.6
97146,22,372.6,2020-09-02,22,372.6
97148,14,411.0,2020-09-02,14,411
97201,55,355.2,2020-09-02,55,355.2
97202,144,371.5,2020-09-02,144,371.5
97203,297,956.8,2020-09-02,297,956.8
97204,5,n/a,2020-09-02,5,0
97205,16,208.1,2020-09-02,16,208.1
97206,263,552.6,2020-09-02,263,552.6
97209,116,775.9,2020-09-02,116,775.9
97210,38,349.0,2020-09-02,38,349
97211,165,527.9,2020-09-02,165,527.9
97212,73,302.6,2020-09-02,73,302.6
97213,116,397.0,2020-09-02,116,397
97214,135,566.9,2020-09-02,135,566.9
97215,80,488.5,2020-09-02,80,488.5
97216,137,878.5,2020-09-02,137,878.5
97217,156,496.2,2020-09-02,156,496.2
97218,158,1085.1,2020-09-02,158,1085.1
97219,142,366.8,2020-09-02,142,366.8
97220,247,866.8,2020-09-02,247,866.8
97221,36,309.5,2020-09-02,36,309.5
97222,182,520.3,2020-09-02,182,520.3
97223,235,503.2,2020-09-02,235,503.2
97224,152,488.4,2020-09-02,152,488.4
97225,112,463.3,2020-09-02,112,463.3
97227,16,415.9,2020-09-02,16,415.9
97229,193,331.5,2020-09-02,193,331.5
97230,442,1111.9,2020-09-02,442,1111.9
97231,18,420.6,2020-09-02,18,420.6
97232,34,296.4,2020-09-02,34,296.4
97233,664,1686.7,2020-09-02,664,1686.7
97236,679,1842.5,2020-09-02,679,1842.5
97239,67,473.5,2020-09-02,67,473.5
97266,318,955.0,2020-09-02,318,955
97267,138,447.5,2020-09-02,138,447.5
97301,619,1156.6,2020-09-02,619,1156.6
97302,192,517.1,2020-09-02,192,517.1
97303,370,957.0,2020-09-02,370,957
97304,247,868.1,2020-09-02,247,868.1
97305,630,1568.1,2020-09-02,630,1568.1
97306,199,727.3,2020-09-02,199,727.3
97317,231,948.5,2020-09-02,231,948.5
97321,104,417.2,2020-09-02,104,417.2
97322,141,414.2,2020-09-02,141,414.2
97324,5,n/a,2020-09-02,5,0
97325,37,559.4,2020-09-02,37,559.4
97327,5,n/a,2020-09-02,5,0
97330,116,279.7,2020-09-02,116,279.7
97331,5,n/a,2020-09-02,5,0
97333,42,196.5,2020-09-02,42,196.5
97338,44,219.5,2020-09-02,44,219.5
97341,5,n/a,2020-09-02,5,0
97344,5,n/a,2020-09-02,5,0
97347,5,n/a,2020-09-02,5,0
97348,5,n/a,2020-09-02,5,0
97351,75,727.7,2020-09-02,75,727.7
97352,17,303.4,2020-09-02,17,303.4
97355,89,311.0,2020-09-02,89,311
97358,0,0.0,2020-09-02,0,0
97360,5,n/a,2020-09-02,5,0
97361,48,426.4,2020-09-02,48,426.4
97362,43,991.2,2020-09-02,43,991.2
97365,315,2931.9,2020-09-02,315,2931.9
97366,10,684.9,2020-09-02,10,684.9
97367,83,881.5,2020-09-02,83,881.5
97368,5,n/a,2020-09-02,5,0
97370,27,326.4,2020-09-02,27,326.4
97374,11,208.9,2020-09-02,11,208.9
97375,12,958.5,2020-09-02,12,958.5
97376,5,n/a,2020-09-02,5,0
97378,24,270.2,2020-09-02,24,270.2
97380,12,490.0,2020-09-02,12,490
97381,101,686.6,2020-09-02,101,686.6
97383,47,490.2,2020-09-02,47,490.2
97385,21,644.8,2020-09-02,21,644.8
97386,17,125.3,2020-09-02,17,125.3
97389,5,n/a,2020-09-02,5,0
97391,17,318.1,2020-09-02,17,318.1
97392,27,520.1,2020-09-02,27,520.1
97394,5,n/a,2020-09-02,5,0
97396,5,n/a,2020-09-02,5,0
97401,107,264.1,2020-09-02,107,264.1
97402,113,224.5,2020-09-02,113,224.5
97403,24,206.5,2020-09-02,24,206.5
97404,50,155.0,2020-09-02,50,155
97405,59,132.2,2020-09-02,59,132.2
97408,34,290.3,2020-09-02,34,290.3
97411,5,n/a,2020-09-02,5,0
97415,15,106.8,2020-09-02,15,106.8
97417,5,n/a,2020-09-02,5,0
97419,5,n/a,2020-09-02,5,0
97420,45,163.8,2020-09-02,45,163.8
97423,13,190.9,2020-09-02,13,190.9
97424,25,142.1,2020-09-02,25,142.1
97426,14,144.1,2020-09-02,14,144.1
97431,5,n/a,2020-09-02,5,0
97435,5,n/a,2020-09-02,5,0
97437,5,n/a,2020-09-02,5,0
97438,5,n/a,2020-09-02,5,0
97439,19,132.5,2020-09-02,19,132.5
97442,0,0.0,2020-09-02,0,0
97443,5,n/a,2020-09-02,5,0
97444,5,n/a,2020-09-02,5,0
97446,19,394.8,2020-09-02,19,394.8
97448,12,98.0,2020-09-02,12,98
97449,0,0.0,2020-09-02,0,0
97452,5,n/a,2020-09-02,5,0
97454,0,0.0,2020-09-02,0,0
97455,5,n/a,2020-09-02,5,0
97456,5,n/a,2020-09-02,5,0
97457,5,n/a,2020-09-02,5,0
97458,5,n/a,2020-09-02,5,0
97459,46,326.3,2020-09-02,46,326.3
97462,11,279.3,2020-09-02,11,279.3
97463,5,n/a,2020-09-02,5,0
97465,0,0.0,2020-09-02,0,0
97467,5,n/a,2020-09-02,5,0
97469,5,n/a,2020-09-02,5,0
97470,34,170.1,2020-09-02,34,170.1
97471,41,140.9,2020-09-02,41,140.9
97477,75,203.4,2020-09-02,75,203.4
97478,109,294.5,2020-09-02,109,294.5
97479,41,431.4,2020-09-02,41,431.4
97487,11,130.2,2020-09-02,11,130.2
97488,5,n/a,2020-09-02,5,0
97495,5,n/a,2020-09-02,5,0
97496,10,131.0,2020-09-02,10,131
97497,0,0.0,2020-09-02,0,0
97498,5,n/a,2020-09-02,5,0
97499,0,0.0,2020-09-02,0,0
97501,293,695.7,2020-09-02,293,695.7
97502,91,328.6,2020-09-02,91,328.6
97503,110,1044.8,2020-09-02,110,1044.8
97504,144,324.0,2020-09-02,144,324
97520,33,134.9,2020-09-02,33,134.9
97523,10,159.6,2020-09-02,10,159.6
97524,39,269.7,2020-09-02,39,269.7
97525,16,347.8,2020-09-02,16,347.8
97526,65,190.0,2020-09-02,65,190
97527,59,175.0,2020-09-02,59,175
97530,17,245.8,2020-09-02,17,245.8
97532,5,n/a,2020-09-02,5,0
97535,16,317.0,2020-09-02,16,317
97537,11,159.0,2020-09-02,11,159
97538,0,0.0,2020-09-02,0,0
97539,5,n/a,2020-09-02,5,0
97540,33,416.1,2020-09-02,33,416.1
97541,5,n/a,2020-09-02,5,0
97544,0,0.0,2020-09-02,0,0
97601,92,409.6,2020-09-02,92,409.6
97603,87,294.7,2020-09-02,87,294.7
97623,5,n/a,2020-09-02,5,0
97624,5,n/a,2020-09-02,5,0
97630,27,529.8,2020-09-02,27,529.8
97632,5,n/a,2020-09-02,5,0
97633,13,955.2,2020-09-02,13,955.2
97641,0,0.0,2020-09-02,0,0
97701,212,359.4,2020-09-02,212,359.4
97702,189,465.7,2020-09-02,189,465.7
97703,87,262.2,2020-09-02,87,262.2
97707,5,n/a,2020-09-02,5,0
97708,5,n/a,2020-09-02,5,0
97720,5,n/a,2020-09-02,5,0
97734,19,682.0,2020-09-02,19,682
97738,5,n/a,2020-09-02,5,0
97739,17,154.3,2020-09-02,17,154.3
97741,161,1351.6,2020-09-02,161,1351.6
97753,5,n/a,2020-09-02,5,0
97754,52,280.0,2020-09-02,52,280
97756,129,384.5,2020-09-02,129,384.5
97759,25,397.2,2020-09-02,25,397.2
97760,25,370.0,2020-09-02,25,370
97761,263,6596.4,2020-09-02,263,6596.4
97801,518,2407.0,2020-09-02,518,2407
97813,5,n/a,2020-09-02,5,0
97814,65,525.0,2020-09-02,65,525
97818,302,7261.4,2020-09-02,302,7261.4
97820,0,0.0,2020-09-02,0,0
97824,10,602.0,2020-09-02,10,602
97826,20,1843.3,2020-09-02,20,1843.3
97827,13,494.7,2020-09-02,13,494.7
97828,5,n/a,2020-09-02,5,0
97836,11,554.7,2020-09-02,11,554.7
97838,1449,5716.9,2020-09-02,1449,5716.9
97844,118,3100.4,2020-09-02,118,3100.4
97845,5,n/a,2020-09-02,5,0
97846,5,n/a,2020-09-02,5,0
97850,367,2164.6,2020-09-02,367,2164.6
97862,133,1140.1,2020-09-02,133,1140.1
97865,5,n/a,2020-09-02,5,0
97868,20,1004.5,2020-09-02,20,1004.5
97869,5,n/a,2020-09-02,5,0
97875,121,4636.0,2020-09-02,121,4636
97882,386,4974.2,2020-09-02,386,4974.2
97883,5,n/a,2020-09-02,5,0
97885,5,n/a,2020-09-02,5,0
97886,12,1052.6,2020-09-02,12,1052.6
97913,180,3256.7,2020-09-02,180,3256.7
97914,894,4655.0,2020-09-02,894,4655
97918,76,1675.1,2020-09-02,76,1675.1
97002,47,835.8,2020-09-10,1,17.699999999999932
97003,219,846.1,2020-09-10,13,50.200000000000045
97004,20,455.8,2020-09-10,0,0
97005,283,1136.3,2020-09-10,14,56.200000000000045
97006,319,506.1,2020-09-10,15,23.80000000000001
97007,279,416.7,2020-09-10,24,35.80000000000001
97008,176,607.5,2020-09-10,8,27.600000000000023
97009,60,773.0,2020-09-10,5,64.39999999999998
97013,248,1093.1,2020-09-10,19,83.79999999999995
97014,5,n/a,2020-09-10,0,0
97015,150,768.4,2020-09-10,10,51.19999999999993
97016,20,328.8,2020-09-10,0,0
97017,5,n/a,2020-09-10,0,0
97018,5,n/a,2020-09-10,0,0
97019,34,1075.6,2020-09-10,0,0
97021,5,n/a,2020-09-10,0,0
97022,17,456.7,2020-09-10,1,26.80000000000001
97023,45,457.7,2020-09-10,8,81.39999999999998
97024,206,2011.3,2020-09-10,8,78.09999999999991
97026,109,2857.1,2020-09-10,5,131
97027,49,403.9,2020-09-10,1,8.199999999999989
97030,447,1218.2,2020-09-10,20,54.5
97031,187,1017.7,2020-09-10,2,10.900000000000091
97032,107,2121.6,2020-09-10,8,158.5
97034,63,333.2,2020-09-10,5,26.399999999999977
97035,78,326.2,2020-09-10,1,4.199999999999989
97038,95,628.6,2020-09-10,6,39.700000000000045
97040,5,n/a,2020-09-10,0,0
97041,32,1136.0,2020-09-10,0,0
97042,17,581.6,2020-09-10,1,34.200000000000045
97045,282,549.1,2020-09-10,17,33.10000000000002
97048,26,388.6,2020-09-10,0,0
97049,5,n/a,2020-09-10,0,0
97051,43,269.5,2020-09-10,4,25.099999999999994
97053,5,n/a,2020-09-10,0,0
97054,5,n/a,2020-09-10,5,0
97055,67,386.2,2020-09-10,11,63.39999999999998
97056,27,234.8,2020-09-10,1,8.700000000000017
97058,200,1008.2,2020-09-10,15,75.60000000000002
97060,223,1050.6,2020-09-10,9,42.399999999999864
97062,250,911.3,2020-09-10,2,7.2999999999999545
97063,5,n/a,2020-09-10,0,0
97064,5,n/a,2020-09-10,0,0
97067,13,608.0,2020-09-10,0,0
97068,79,279.1,2020-09-10,2,7.100000000000023
97070,145,691.9,2020-09-10,7,33.39999999999998
97071,936,3249.7,2020-09-10,58,201.39999999999964
97078,240,1119.9,2020-09-10,11,51.40000000000009
97080,480,1173.9,2020-09-10,24,58.700000000000045
97086,183,703.6,2020-09-10,8,30.800000000000068
97089,78,650.6,2020-09-10,3,24.899999999999977
97101,24,632.6,2020-09-10,6,158.20000000000005
97103,45,266.9,2020-09-10,1,5.899999999999977
97106,22,483.5,2020-09-10,6,131.89999999999998
97107,0,0,2020-09-10,0,0
97110,5,n/a,2020-09-10,0,0
97111,15,475.3,2020-09-10,1,31.69999999999999
97112,0,0,2020-09-10,0,0
97113,253,1787.6,2020-09-10,11,78
97114,46,966.0,2020-09-10,2,42
97115,22,531.5,2020-09-10,0,0
97116,260,1078.7,2020-09-10,6,24.90000000000009
